,Tweets
241,b'Agree and it curtails the battle with plagiarism #AppleEDUchat https://t.co/VwqMKye4kw'
242,b'I like having kids look at data and tell a story - what can we learn from this amazing interactive data set from @NatGeoEducation - how can we take this information and drive change in our community?  #AppleEDUchat https://t.co/Mgvl1UgGis'
243,"b'@TTrzebiatowski A4: We are always telling stories through filmmaking, coding, designing games with narratives. There are a range of tools we\xe2\x80\x99ve used to make them #accessible like @BookCreatorApp and @Flipgrid #AppleEDUChat\n\n https://t.co/finowyb9xl'"
244,"b'RT @shmaynor: A3: #AppleEDUchat\n\xe2\x9e\xa1\xef\xb8\x8f""More than three-fourths of the world\xe2\x80\x99s mobile data traffic will be video by 2021."" \xe2\x80\x93 Cisco\n\xe2\x9e\xa1\xef\xb8\x8f""Visuals ar\xe2\x80\xa6'"
245,b'@jasontries @TTrzebiatowski I really enjoy debating creative credit for music remixes and loops and samples with older students. It really makes them think about their own work in different ways. #AppleEDUchat'
246,b'@joyfulDuplisea Lens perception yes! I had a professor that would always ask what do you think the lens omitted in the photo. Always an interesting thought. #AppleEDUchat'
247,b'@TTrzebiatowski \xf0\x9f\x92\xaf once teachers see that a variety of media rich content; compared to 30 pieces of identical work; still hits the learning outcomes; it becomes easier to convince them that personalisation is a powerful tool\xc2\xa0#AppleEDUChat'
248,b'Q4 #CLIPS Is my favorite App to teach Digital Storytelling. @redfordcenter @WiscoClips Contest are my favorite activities. #StoriesofImpact #DigitalStorytelling #StoriesforChange #AppleEDUchat https://t.co/rv624ImuX7'
249,b'@NdotClemons @TTrzebiatowski @eh48 Hey fellow science educator! #AppleEDUchat'
250,b'A2: This picture tells the story of how professional learning and connection persevered even with a pandemic. Our #risdaim teachers go above and beyond to provide engaging learning experiences for their @RichardsonISD students. #AppleEDUchat https://t.co/XvimDP1TJB https://t.co/UeOR46fxvV'
251,b'RT @NdotClemons: A3: I love this question!  Learning the art of remixing via storytelling.  Many students struggle with writing so I scaffo\xe2\x80\xa6'
252,b'A3: I love this question!  Learning the art of remixing via storytelling.  Many students struggle with writing so I scaffold by having them remix first with proper citations and attributions.  Students end up doing some very meaningful and purposeful researching #AppleEDUchat'
253,b'A3(part 2):  Opportunities to tell the story of learning in different ways allows us to more accurately assess what the learner knows as well as pick up on misconceptions. For remediation.   #AppleEDUchat'
254,"b'@seanmarnold @TTrzebiatowski Responsibility for sure, even our students notice when content creators do things purely for views #AppleEDUChat'"
255,"b'RT @shmaynor: A3: How can we engage the REMIX generation? Visual analysis, visual creation, stories of all genres...in portrait mode. Teach\xe2\x80\xa6'"
256,"b""A1: When others are able gain a different perspective, walk in someone else's shoes and then APPLY that learning to their own lives = impact #AppleEDUchat https://t.co/DllzHDDeu2"""
257,"b""@jdeinhammer @MiaLMorrison It's always tricky with the youngest ones to not sow cynicism at everything, but to give them enough tools to decipher images on their own as they older #AppleEDUchat"""
258,"b'RT @shmaynor: A3: #AppleEDUchat\n\xe2\x9e\xa1\xef\xb8\x8f""More than three-fourths of the world\xe2\x80\x99s mobile data traffic will be video by 2021."" \xe2\x80\x93 Cisco\n\xe2\x9e\xa1\xef\xb8\x8f""Visuals ar\xe2\x80\xa6'"
259,"b'A3: How can we engage the REMIX generation? Visual analysis, visual creation, stories of all genres...in portrait mode. Teaching needs to match the world. #AppleEDUchat https://t.co/Q5cwlKcvuk'"
260,"b'A3: When a person is able to be in the ""driver seat"" as the storyteller it provides a deeper understanding of the structures of media and makes a person more literate = media literacy enhanced. #AppleEDUchat https://t.co/DfK8knoMSD'"
261,b'This was such a great opportunity for our advanced #swift #coders in @mobilemakers to hear from end-users &amp; companies about app ideas. I loved listening to them probe potential users for more information that would help them prototype ideas and arrive at an MVP. #AppleEDUchat https://t.co/bqlQrmcp04'
262,"b'@TTrzebiatowski Yes, noting research as an essential part of a story that is grounded in a reality-even a fictional one-is important. #AppleEDUChat'"
263,"b'A1: A story with a message always packs an emotional punch for me. Students, teachers, and/or a campus as a whole should consider the clear message or call to action within their story. #AppleEDUchat https://t.co/xTaGCGYEJ4'"
264,"b""@NdotClemons and that it's different for everyone that reads that book! #AppleEDUchat"""
265,b'A3: The power of persuasion and lens of perception can be both beneficial as well as a hindrance.  We must know how to recognize this. #AppleEDUchat'
266,b'@eh48 @jdeinhammer @MiaLMorrison SO awesome! I\xe2\x80\x99ve also had kids do it the other way \xe2\x80\x94create a tune that represents the story. #AppleEDUchat'
267,"b'Digital story telling gives students a voice, it ask them to be conscious and critical  to effectively communicate their ideas. It help them understand the power and impact of imagery. #AppleEDUchat'"
268,b'A3: It allows for access for all! You are also giving voice to those who may not have a voice as well as providing an authentic audience #AppleEDUchat https://t.co/uMAq4Z8gT8'
269,b'YES! They experience and interpret someone else\xe2\x80\x99s expression and then take that experience into their own story. LOVE #AppleEDUchat https://t.co/KTlUpwSW6S'
270,"b'@TTrzebiatowski ""Authentic"" is a great word. Audiences can definitely sway authors being true to themselves. #AppleEDUchat'"
271,"b'@TTrzebiatowski A3: when remixing and getting inspiration for our stories, it\xe2\x80\x99s important to give credit and acknowledge the work of others. Just thinking of our last question where a photo was the jumping off point.  #AppleEDUchat'"
272,"b""A3:  There's more than one way to tell a story.  Providing our learners access and opportunities to explore creation with all mediums (film, photo, music) guarantees that their POV, their voice can be heard.  #AppleEDUchat https://t.co/azLgCxQHMB"""
273,"b'RT @shmaynor: A3: #AppleEDUchat\n\xe2\x9e\xa1\xef\xb8\x8f""More than three-fourths of the world\xe2\x80\x99s mobile data traffic will be video by 2021."" \xe2\x80\x93 Cisco\n\xe2\x9e\xa1\xef\xb8\x8f""Visuals ar\xe2\x80\xa6'"
274,"b'RT @shmaynor: A3: #AppleEDUchat\n\xe2\x9e\xa1\xef\xb8\x8f""More than three-fourths of the world\xe2\x80\x99s mobile data traffic will be video by 2021."" \xe2\x80\x93 Cisco\n\xe2\x9e\xa1\xef\xb8\x8f""Visuals ar\xe2\x80\xa6'"
275,"b'@jdeinhammer @MiaLMorrison A3: Yes! This exactly! I also ask my students to close read images and tell me what story it tells. I think it helps them when they capture and publish their own images, too! #AppleEDUchat'"
276,b'RT @mcoutts81: @TTrzebiatowski A3: digital storytelling allows learners who are perhaps struggling with writing to share their story in a w\xe2\x80\xa6'
277,b'RT @mrmahsome: @TTrzebiatowski A3: Applying digital tools appropriately and effectively is a fundamental skill in being media literate. Wie\xe2\x80\xa6'
278,"b'A3: #AppleEDUchat\n\xe2\x9e\xa1\xef\xb8\x8f""More than three-fourths of the world\xe2\x80\x99s mobile data traffic will be video by 2021."" \xe2\x80\x93 Cisco\n\xe2\x9e\xa1\xef\xb8\x8f""Visuals are processed 60,000X faster in the brain than text. 90% of information transmitted to the brain is visual. - Shift Learning\n\xf0\x9f\x8e\x89Teach visual storytelling.'"
279,"b'@TTrzebiatowski A3: digital storytelling allows learners who are perhaps struggling with writing to share their story in a way that makes sense to them. Non verbal communications, digital slideshows, all can enable us to reach all learners #AppleEDUChat \nhttps://t.co/ZkmdAPST78'"
280,b'@TTrzebiatowski A3: Applying digital tools appropriately and effectively is a fundamental skill in being media literate. Wielding powerful tools requires an understanding of how it works and the effects media has. #AppleEDUchat'
281,"b'A3: The process of researching and creating a digital story provides an authentic opportunity for students to practice essential literacy skills in areas of reading, writing, speaking, and listening. #AppleEDUchat https://t.co/yoVy4LAnXC'"
282,b'A1: Being invited to imagine myself as one of the characters makes a book impactful!  #AppleEDUchat'
283,b'A3: Utilizing all mediums to serve all of our learners. #AppleEDUchat https://t.co/RjxVxwZq6Z'
284,"b'A3: Media literacy is so crucial today. Having a solid understanding of how photos, video, music and text impact our perception of the world is so important. @iste has some great resources on this: https://t.co/r1DOwgPqG4 #AppleEDUchat'"
285,b'@TTrzebiatowski Love your #Keynote graphics today BTW! #AppleEDUchat'
286,b'@MiaLMorrison A3: I think it is important to ask kids to explain how images make them feel and notice how different media sources use different images to make us feel certain ways. #AppleEDUchat.  .'
287,"b'@TTrzebiatowski A3: Stories are powerful and can sway opinions for good or bad. So it\xe2\x80\x99s important to learn how to discern quality information from emotional manipulation especially in light of recent events. \nAlso, our Instagram feeds and TikToks are stories-tell them responsibly.\n#AppleEDUchat'"
288,"b'A2 mysterious, symbolic, realistic. fiction  #AppleEDUchat https://t.co/nzSrCraPfB'"
289,b'@jasontries @eh48 @NatGeoPhotos So much to digest in that photo! Can really tackle presumptions for sure. #AppleEDUchat'
290,b'Q3 How can digital storytelling support media literacy? #AppleEDUchat https://t.co/mC6XyE4AtE'
291,b'@jasontries @eh48 @NatGeoPhotos Such a great idea! #AppleEDUchat'
292,"b'Hello #AppleEDUchat community, so many great stories and experiences being shared. Love the visuals, the backstories, the resources, and most of all the connections #raiseyourvoice !!'"
293,b'A2: If you want a more personal image-my family finding light in moments of darkness. #AppleEDUChat'
294,b'@eh48 A2: I\xe2\x80\x99ve used this as a writing prompt and have learners visit instagram pages from @NatGeoPhotos\n\nI\xe2\x80\x99m intrigued by this one:\nhttps://t.co/Q2Sf4gDNSK\n\n#AppleEDUchat'
295,"b'@LangstonEdTech If you know, you know.... #AppleEDUchat https://t.co/YWXhQV3sWG'"
296,b'@TTrzebiatowski @eh48 Hi everyone!  My name is Natasha Clemons!  I am a middle school science educator and tech coach in the UAE!  My favorite story is Where the Wild Things Are!  #AppleEDUchat'
297,b'@LangstonEdTech A2: for me it was this one. #AppleEDUChat https://t.co/uPHyFZ2dqy'
298,b'@TheMrsRandolph Connections everywhere! #AppleEDUchat'
299,b'A2: This one hit me on many levels. Timely symbolism in a place most don\xe2\x80\x99t expect there to be much depth. #AppleEDUchat https://t.co/a17GumIRsD https://t.co/zi5ckEBVfg'
300,b'A2: this site is amazing: https://t.co/PZabycubfr #AppleEDUchat'
301,b'@LangstonEdTech There were some horror scenes in that film for sure\xe2\x80\xa6. #AppleEDUChat https://t.co/rBSaIBLc7s'
302,b'@janeamenicucci What is art? It makes you ask the question. #begsthequestion #AppleEDUchat'
303,b'RT @klbeasley: #MediaMentorMonth balance:\n\n\xf0\x9f\x9a\xab\xf0\x9f\x93\xb1\xf0\x9f\x92\xbb Schedule 30 minutes with your child with all devices turned off.\n\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc All activities availabl\xe2\x80\xa6'
304,b'@MrsTLeon This. \nWow. \nStory unfolding. \n#AppleEDUchat'
305,b'@MrsTLeon Defining diptychs of our generation. #AppleEDUchat'
306,b'@eh48 A2: Some historical images tell incredible stories of standing up to challenge and oppression. Here are 2 that immediately came to mind. #AppleEDUChat https://t.co/4P2Z7at6Et'
307,b'Laurie Doran joining in late ...again\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8fA favorite story... The Little Prince #AppleEDUchat https://t.co/QtQYvA1qf1'
308,b'RT @DrTerriC: @Chclteteacher and I #ade2015 and @ashleycoffey_ just presented on story today at #sxswedu #AppleEDUchat. https://t.co/aV9SiD\xe2\x80\xa6'
309,b'A2: I\xe2\x80\x99m cheating and sharing two. March 2020 vs March 2021 #AppleEDUchat https://t.co/DBTqU7K7AV https://t.co/2DRLJClUcE'
310,b'@eh48 A2: What makes an LGBTQ+ ally? Each student heart is a story. #AppleEDUchat https://t.co/C9sxMR1smP'
311,"b'A1: is it relatable, draws you in and begs you to ask for more. #AppleEDUchat https://t.co/p7FiTVxYtu'"
312,b'@Chclteteacher and I #ade2015 and @ashleycoffey_ just presented on story today at #sxswedu #AppleEDUchat. https://t.co/aV9SiD7Lv9'
313,"b'A2: #appleeduchat \n\nA diamond in the rough. ""The grinch has fingers like sugar snap peas."" https://t.co/EGj5eqCmyZ'"
314,"b""@eh48 A1: I'm a fan of the 3-act structure: setup, conflict, resolution. What I really like is what happens next; how everyone is affected by the story. Not just the characters, but the audience as well. We take pieces of great stories with us. #AppleEDUchat"""
315,"b'Hi all, Janea from NM, Director of Ed Tech! My favorite story is not on a book it is the stories my family has told of our family history #AppleEDUchat https://t.co/qzkbKfnu9w'"
316,"b'A2: Slug. Mushroom. NicoBotz. If you know my dog, this picture tells a story. If you don\xe2\x80\x99t know my dog, I still think one could generate a pretty fun story! \n#AppleEDUchat https://t.co/8y1wQsGt8A https://t.co/sTG9GQCp8j'"
317,b'A2:   Share a compelling image that tells a story.\xc2\xa0#StoriesofImpact  #InternationalWomensDay #DigitalStorytelling #AppleEDUchat https://t.co/9FC8HLtMgn'
318,b'@mrmahsome @TTrzebiatowski @eh48 Oh...such a GREAT story. A favorite in my house for years. #AppleEDUchat'
319,b'Q2: Share a compelling image that tells a story.\n\n#AppleEDUchat \n#digitalstorytelling https://t.co/ExCIGYmxNb'
320,b'@TTrzebiatowski I was always envious of Bastian. He was consumed by the story and it had him wanting to read more and more. Despite it meaning his heads may be in the clouds #AppleEDUChat'
321,"b""@TTrzebiatowski @eh48 Hi! Matthew from Vancouver. I'm an elementary edtech head. I just watched the Princess Bride: Home Movie remake so that's gotta be up at the top of favourite stories! #AppleEDUchat"""
322,"b""@jasontries @eh48 And the stories that connect the author's emotions and allows others to relate can create communities of understanding too, #AppleEDUchat"""
323,"b'A1: Hi! Leah from Ohio. Stories elevate, connect, and inspire. #AppleEDUchat'"
324,b'Terri Cullen professor @atueducation #AppleEDUchat visiting my folks in Louisville.'
325,b'RT @klbeasley: #MediaMentorMonth balance:\n\n\xf0\x9f\x9a\xab\xf0\x9f\x93\xb1\xf0\x9f\x92\xbb Schedule 30 minutes with your child with all devices turned off.\n\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc All activities availabl\xe2\x80\xa6'
326,b'@TTrzebiatowski Delighted to be here as always. Can\xe2\x80\x99t have @techclassrocks being the only ADE peep to crash another regions chat \xf0\x9f\x98\x82 #AppleEDUChat https://t.co/bd1u2zx2hM'
327,"b'RT @shmaynor: A1: Story is everywhere. Impact is often rooted in empathy. When the audience resonates with or has empathy for a character,\xe2\x80\xa6'"
328,b'@eh48 A1: a story is impactful if it causes you feel something and creates an emotional connection. #AppleEDUchat'
329,b'A1: An impactful story is when the reader can see how what they read is relateable to real life. #AppleEDUchat'
330,b'@eh48 It\xe2\x80\x99s the story of the Sword in the Stone. #AppleEDUChat'
331,b'@eh48 A1: Stories have impact when you can FEEL them - I encourage kids to tell powerful stories that make the audience feel what they feel #AppleEDUchat'
332,"b'A1: Story is everywhere. Impact is often rooted in empathy. When the audience resonates with or has empathy for a character, the story infuses into the soul, making it impactful to the individual. #AppleEDUchat'"
333,"b'Chuck Langston, Instructional Technology Coordinator from Chattanooga TN here! My favorite story is probably found in a comic book somewhere lol. Most likely Captain America. #AppleEDUchat https://t.co/GYI4PPo9cy'"
334,b'A good story is one that brings a sense of imagination and wonder to the reader. I always think of Bastian in the Neverending story and how he is drawn into the stories he reads  #AppleEDUChat https://t.co/mnuqScd6Ze'
335,b'@TTrzebiatowski @eh48 Jodie from Dallas - science and gardening teacher - favorite story? Here We Are by Oliver Jeffers #AppleEDUchat https://t.co/yk54VP8mm9'
336,b'A1: It has to be relatable. The reader/listener/viewer has to connect with the characters on some level. #AppleEDUchat https://t.co/oznq04dRlB'
337,"b'A1:  For me... whether it be an idea, a name, an emotion, an image...Did I feel something and connect to it? #AppleEDUchat https://t.co/9AZiDJoS0U'"
338,"b'A1: Capturing real, raw, authentic reflection makes for an impactful story. The human connection is powerful.   #AppleEDUchat'"
339,"b'A1: Personal connection. When you are personally connected to the story, you become the best narrator your story can have! \n#AppleEDUchat https://t.co/yfnC1kXnuz'"
340,"b'@eh48 A1: A compelling story is honest, speaks to the audience, and has a strong message. The best stories can change hearts and minds-overcoming cognitive dissonance. #AppleEDUChat https://t.co/fuV7Xa2Deu'"
341,"b'A1:  Emotion, momentum, wondering, empowerment. #AppleEDUchat'"
342,"b""@TTrzebiatowski @eh48 Hello, I'm Sean-special educator in NYC. I've long loved the Lord of the RIngs and still get a little angry Tom Bombadil wasn't in the films. #AppleEDUChat"""
343,"b'Hey everyone. Martin from the NE of \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf I\xe2\x80\x99m an independent \xef\xa3\xbf Professional Learning Specialist and my favourite story is \xe2\x80\x98The Once &amp; Future King\xe2\x80\x9d by T.H. White. Kings, Wizards and stones. #AppleEDUChat'"
344,b'A1: An impactful story is personal. It relates to the storyteller and/or audience on a fundamental level. #AppleEDUchat https://t.co/KoALd4CrnR'
345,"b""A1:  A story of impact links personal experience to viewers' emotions. Stories of impact leave viewers with a message of hope, new ideas, or a call to action. #StuVoice #StoriesofImpact #AppleEDUchat https://t.co/8X4oeL02W5"""
346,"b""Hi! I'm Susan - learning experience designer/visual storyteller from KCMO. So many favorites, but..a couple from childhood - Tuppenny. The Girl Who Owned a City. #AppleEDUchat"""
347,"b""Excited for tonight's chat! Felecity, Integration Specialist  from Wisconsin. So hard to pick a favorite story! I'm going with a favorite read aloud, The Bad Beginning by Lemony Snicket! Such a great series! #AppleEDUchat https://t.co/UyZTM2JLEw https://t.co/CjD4u2xgP0"""
348,"b'\xf0\x9f\x91\x8bCatherine joining from Cleveland, Ohio.  I am the Lead Model Teacher @OrchardSTEM School #AppleEDUchat'"
349,b'Q1: What makes an impactful story?\n\n#AppleEDUchat \n#digitalstorytelling https://t.co/LgQik0Vbwc'
350,"b'Hi!  Erika from Philly suburbs, music and tech integration... One of my favorite stories EVER ... ""The Secret Miracle"" by Jorge Luis Borges. #AppleEDUchat'"
351,"b'Hey peeps! Emily from San Jose, CA! So happy to be co-hosting with Tammy tonight! I love impactful animation :) #AppleEDUchat'"
352,"b'Hey, y\xe2\x80\x99all! Tanya from MI! So excited to be with my people tonight. And my favorite story? I\xe2\x80\x99m an English teacher so it\xe2\x80\x99s IMPOSSIBLE to choose; I love them all!!!! \xf0\x9f\x93\x9a\xf0\x9f\xa4\x93 #AppleEDUchat'"
353,b'RT @TTrzebiatowski: Welcome to\xc2\xa0#AppleEDUChat\xc2\xa0my co-host @eh48 and I are excited you joined us tonight to engage in \xe2\x80\x9cReaching beyond the cla\xe2\x80\xa6'
354,b'Hello Everyone! Tammy T Integration Specialist from WI. Honored to co-host tonight with the amazing @eh48 My favorite story - \xe2\x80\x9cGirls Can Be Anything\xe2\x80\x9d- A gift of impact from my mom!\xf0\x9f\xa5\xb0 #InternationalWomensDay #StoriesofImpact #AppleEDUchat https://t.co/m1NxZdSlgk'
355,"b'Welcome to\xc2\xa0#AppleEDUChat\xc2\xa0my co-host @eh48 and I are excited you joined us tonight to engage in \xe2\x80\x9cReaching beyond the classroom with digital storytelling."" Introduce yourself. Share your role, location and favorite story. https://t.co/tqhxgNYU45'"
356,b'RT @theresamcgee: Future Filmmakers (&amp; their teachers) - great opportunity to learn from three outstanding filmmakers Thursday night! One o\xe2\x80\xa6'
357,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
358,"b""Dear PLN, anyone have a solid 'Film-Making' scheme of work/scaffold that could be accessed by Y6 Ss that they'd be willing to share? Would be willing to trade ideas/biscuits/other @MrErdoganEDU #AppleEDUchat @davidaprocter @PaulHamilton8 @CorpusArtsJD @XpatEducator Thx in adv\xf0\x9f\x99\x8f"""
359,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
360,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
361,b'RT @theresamcgee: Future Filmmakers (&amp; their teachers) - great opportunity to learn from three outstanding filmmakers Thursday night! One o\xe2\x80\xa6'
362,b'Future Filmmakers (&amp; their teachers) - great opportunity to learn from three outstanding filmmakers Thursday night! One of my students will also be a panelist :) Register &amp; learn more: https://t.co/443VAXSpX9 #AppleEDUchat #artsed https://t.co/YbjyfieSUD'
363,b'RT @BenHaydenEDU: In preparation for #RedNoseDay 2021 \xf0\x9f\x94\xb4I have created some assets in Keynote ready for school photo overlays - including a\xe2\x80\xa6'
364,"b'@aliciabankhofer @MrsLauraW @Mrs_Educate Thanks, Alicia! So nice to connect with all of you for an afternoon! #AppleEDUchat'"
365,b'@MirCWalsh @techclassrocks @lancslassrach @BronwynWrites @LangstonEdTech Something like this? #AppleEDUChat \n\nhttps://t.co/nBaOK1gYsJ'
366,b'\xe2\x81\xa6@techclassrocks\xe2\x81\xa9 you\xe2\x80\x99d be correct #AppleEDUChat https://t.co/BgDE1nP0Wd'
367,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
368,b'In preparation for #RedNoseDay 2021 \xf0\x9f\x94\xb4I have created some assets in Keynote ready for school photo overlays - including a wreath for our gurning competition! Feel free to download the transparent background PNG image files if you want\xf0\x9f\x91\x8d\n\xf0\x9f\x94\x97https://t.co/8x0uPZEUV0\n#AppleEDUchat https://t.co/q3JieEGLC4'
369,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
370,b'RT @BenHaydenEDU: Pull up a chair with @mat6453 and I next Tuesday 16th March at 8pm GMT as we look at leading creativity in learning! #App\xe2\x80\xa6'
371,b'RT @mcoutts81: Join hosts @Mat6453 &amp; @BenHaydenEDU 16th March 8pm GMT (9pm CET/1pm PT) for a discussion about leading creativity in learnin\xe2\x80\xa6'
372,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
373,"b'Leverage the power of audio! EdTech\xe2\x80\x99s Weekly Wednesday shows how using audio in the classroom can help your students brainstorm, refine tone &amp; voice, practice &amp; revise, and self-assess.\n\n#KISPride #AppleEDUchat #EdTech #GrowthMindset #Adaptability #appliedlearning https://t.co/oPdEdcoctd'"
374,b'RT @mcoutts81: Join hosts @Mat6453 &amp; @BenHaydenEDU 16th March 8pm GMT (9pm CET/1pm PT) for a discussion about leading creativity in learnin\xe2\x80\xa6'
375,"b""I shared @XpatEducator's 'One-Pagers' tonight during a staff meeting - they were a hit! I've since looked at editing them to suit staff requests to compliment the teaching of skills and vocab. Check out the rest of his resources \xf0\x9f\x91\x8dhttps://t.co/50zt4qSV95\n#AppleEDUchat https://t.co/BNLQL8gR2w"""
376,b'RT @BenHaydenEDU: Pull up a chair with @mat6453 and I next Tuesday 16th March at 8pm GMT as we look at leading creativity in learning! #App\xe2\x80\xa6'
377,b'RT @BenHaydenEDU: Pull up a chair with @mat6453 and I next Tuesday 16th March at 8pm GMT as we look at leading creativity in learning! #App\xe2\x80\xa6'
378,b'Pull up a chair with @mat6453 and I next Tuesday 16th March at 8pm GMT as we look at leading creativity in learning! #AppleEDUchat @NTLearningTrust #EveryoneCanCreate https://t.co/Zprt4UGsEV'
379,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
380,"b'RT @cre8Rt: A while ago I asked @meesterkurt Is it possible to design a School Planner in #Numbers? The response: Yes, and...we can do it t\xe2\x80\xa6'"
381,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
382,b'RT @mcoutts81: Join hosts @Mat6453 &amp; @BenHaydenEDU 16th March 8pm GMT (9pm CET/1pm PT) for a discussion about leading creativity in learnin\xe2\x80\xa6'
383,"b'RT @cre8Rt: A while ago I asked @meesterkurt Is it possible to design a School Planner in #Numbers? The response: Yes, and...we can do it t\xe2\x80\xa6'"
384,"b'I mean, us older people often try to guide young people in certain directions. Often with the best intentions and with love. But sometimes it\xe2\x80\x99s maybe more valuable just to meet them without being judgmental and without presenting our fixed ideas about the world. \n#appleEDUchat'"
385,b'RT @terri_coombs1: @cumiskey_chloe @Williams09Miss @MissAWilson6 a4) The women who are just starting out on the Ed Tech journey and are ful\xe2\x80\xa6'
386,b'RT @mcoutts81: Join hosts @Mat6453 &amp; @BenHaydenEDU 16th March 8pm GMT (9pm CET/1pm PT) for a discussion about leading creativity in learnin\xe2\x80\xa6'
387,b'@jakobesben Completely agree - No better way to develop international mindedness #AppleEDUchat'
388,b'@crozer_kellie Ahh that\xe2\x80\x99s so fab! Wish I could pop down and see it... \xf0\x9f\x98\xa2  #AppleEDUchat'
389,b'@KLongman974 Amazing to have you!  #AppleEDUchat'
390,b'@TomKonsek Thanks loads for joining  #AppleEDUchat'
391,b'@AmarjitMarva Must chat to you about your fab connections \xf0\x9f\x98\x89 DM?  #AppleEDUchat'
392,b'@mcoutts81 @mat6453 @BenHaydenEDU @AppleEDU This looks sooooo good!  #AppleEDUchat'
393,"b'@mcoutts81 @MrsLauraW @MirCWalsh Thanks so much for the opportunity, it was a fab one  #AppleEDUchat'"
394,b'@aliciabankhofer @MrsLauraW Thanks sooo much  #AppleEDUchat'
395,b'Coming up next week. These questions are \xf0\x9f\x91\x8cand definite conversation starters. #AppleEDUchat #EveryoneCanCreate https://t.co/w627cFLvCt'
396,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
397,b'Big thanks to @Mrs_Educate and &amp; @MrsLauraW for hosting #AppleEDUchat EMEIA tonight if you missed it you can find the recap here https://t.co/iGK7pkzfKD'
398,b'RT @mcoutts81: Join hosts @Mat6453 &amp; @BenHaydenEDU 16th March 8pm GMT (9pm CET/1pm PT) for a discussion about leading creativity in learnin\xe2\x80\xa6'
399,"b'Ah, so this is next week\xe2\x80\x99s #AppleEDUchat topic.\nMight even join again. https://t.co/S3Xit34Ysy'"
400,b'RT @mcoutts81: Join hosts @Mat6453 &amp; @BenHaydenEDU 16th March 8pm GMT (9pm CET/1pm PT) for a discussion about leading creativity in learnin\xe2\x80\xa6'
401,b'@AmarjitMarva @Mrs_Educate Thank you for joining us #AppleEDUchat'
402,b'There\xe2\x80\x99ll be a ADE #EMEIA Trivia Night this Thursday. Want to join our team with @Mrs_Educate @KZaloudek ? DM me! #AppleEDUchat'
403,"b'RT @AppleEDU: During this week\xe2\x80\x99s Americas #AppleEDUchat, hosts @TTrzebiatowski and @eh48 will lead a discussion about digital storytelling.\xe2\x80\xa6'"
404,b'@Mrs_Educate Thank you for a brilliant chat. Carry on inspiring...stay safe and god bless. \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd #AppleEDUchat'
405,b'@See_Genius @Mrs_Educate @mat6453 and @BenHaydenEDU so it\xe2\x80\x99s going to be a cracker!!! #appleeduchat'
406,b'@AmarjitMarva A6 : \xf0\x9f\x92\xaf Agreed! \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc#AppleEduChat'
407,b'RT @mcoutts81: Join hosts @Mat6453 &amp; @BenHaydenEDU 16th March 8pm GMT (9pm CET/1pm PT) for a discussion about leading creativity in learnin\xe2\x80\xa6'
408,b'@MrsLauraW @MirCWalsh Thanks to you and @Mrs_Educate for hosting tonight\xe2\x80\x99s chat. Great to see so many meaningful conversations taking place #AppleEDUChat'
