,Tweets
1165,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1166,"b'@motorolaindia The right price are :\n\nmoto g10 Power : Rs. 14990 /- \n\nmoto g30 price - Rs. 15990 /- \n\nReally hope my sincere efforts get acknowledged.\n\n#motog10power #motog30\n#PowerfulAllRounder #SolidAllRounder\n#GuessThePrice\n#AsliAllRounders\n@motorolaindia\nTagging,\n@Manab1971\n@Im_Monjil'"
1167,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1168,"b'@motorolaindia The right price are :\n\nmoto g10 Power : Rs. 14990 /- \n\nmoto g30 price - Rs. 15990 /- \n\n#motog10power #motog30\n#PowerfulAllRounder \n#SolidAllRounder\n#GuessThePrice\n#AsliAllRounders\n@motorolaindia\n\nTagging,\n@Racer_Veb @Manab1971\n@GoswamiEsha @misty_basu\n@Lilla_Graffeo @Im_Monjil'"
1169,b'@motorolaindia #PowerfulAllRounder\n#SolidAllRounder\n#GuessThePrice\n#AsliAllRounders\n#motog10power\n#motog30\n\nJoin\n@Abhishe70795868 \n@prem2prem12'
1170,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1171,"b'@motorolaindia Moto g10 power - \xe2\x82\xb912,499\nMoto g30 - \xe2\x82\xb915, 990\n\n#motog10power #motog30 #PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders \n@motorolaindia\nGuys join in @Simran_dream @MeAnkita1 @AnkitaBonkar @rosie7me @rashmibapna1107'"
1172,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1173,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1174,"b'@motorolaindia became (Mota = Big, Rola = Role) BigRole in giving #PowerFulEntertainment &amp; #SolidAllRounder performance \n\nRight Prices:\n#MotoG10Power - \xe2\x82\xb914,990/-\n#MotoG30 - \xe2\x82\xb915,990/- \n\n#PowerfulAllRounder #GuessThePrice #AsliAllRounders \n\nGuys join:\n@imPriynkaM @amkvAA_itsSSR https://t.co/k3hkar8tcw'"
1175,"b'@motorolaindia @motorolaindia became (Mota = Big, Rola = Role) BigRole in giving #PowerFulEntertainment &amp; #SolidAllRounder performance \n\nRight Prices:\n#MotoG10Power - \xe2\x82\xb914,990/-\n#MotoG30 - \xe2\x82\xb915,990/- \n\n#PowerfulAllRounder #GuessThePrice #AsliAllRounders \n\nGuys join:\n@imPriynkaM @amkvAA_itsSSR'"
1176,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1177,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1178,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1179,"b""@motorolaindia Moto G10 \xe2\x82\xb9 11999 and Moto G30 \xe2\x82\xb913999\n#motog10power #motog30 Motorola happy women's day team.. and wish to win..."""
1180,"b'Moto G10 Power Price: \xe2\x82\xb913,990/-\nMoto G30 Price:  \xe2\x82\xb915,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 @motorolaindia\n\nDo participate: @1976Piyush @JaydipGhosh4 https://t.co/zqEZQSreMU'"
1181,"b'@motorolaindia Moto g10 power \xe2\x82\xb914,999\nMoto  g30 \xe2\x82\xb9 15,999\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #MotoG30 #GuessThePrice #AsliAllRounders \n@motorolaindia \n\nJoin\n@nekkantitsayz \n@Navyavegi \n@sakshiKumargau1 \n@kusumsolanki17 \n@ItikaNaik10 \n@MumNishi \n@nishtha__ \n@Sandy140690'"
1182,"b'@motorolaindia Moto G10 Power Price: \xe2\x82\xb913,990/-\nMoto G30 Price:  \xe2\x82\xb915,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 @motorolaindia'"
1183,"b'RT @amitskylon: @motorolaindia Moto g10 Power - \xe2\x82\xb910,499/-\nMoto g30 - \xe2\x82\xb912,999/-\n#motog10power\n#motog30\n@motorolaindia\n#PowerfulAllRounder #S\xe2\x80\xa6'"
1184,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1185,"b'@motorolaindia Moto G10 Power : \xe2\x82\xb910,999/-\n\nMoto G30 : \xe2\x82\xb912,999/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 \n@motorolaindia \n@inakbar @shivams009 @FrostKiyara @Umesh_singh_ @chidambar08 @ranchikuldeep @iammargam @blessedkamal'"
1186,"b'@motorolaindia Moto g10 Power - \xe2\x82\xb910,499/-\nMoto g30 - \xe2\x82\xb912,999/-\n#motog10power\n#motog30\n@motorolaindia\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest \nJoin in \n@RishiSunak \n@Mj180Shiva \nhttps://t.co/UfNsmJWUWN https://t.co/8Yx62nXNiY https://t.co/iBRWv8P9rk'"
1187,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1188,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1189,b'@motorolaindia Moto g10 power: \xe2\x82\xb912999\nMoto g30: \xe2\x82\xb9 14999\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 @motorolaindia \n\nJoin\n@Rana90631639 \n@AjantaDasRoy1'
1190,b'@motorolaindia Moto g10 power \xf0\x9f\x91\x89 \xe2\x82\xb914999\nMoto g30 \xf0\x9f\x91\x89 \xe2\x82\xb915999\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #motog30 #GuessThePrice #AsliAllRounders \n@motorolaindia \nJoin @MahiUmer4 @umerbasheer11'
1191,"b'@motorolaindia @Flipkart Moto g10 Power - \xe2\x82\xb910,499/-\nMoto g30 - \xe2\x82\xb912,999/-\n#motog10power\n#motog30\n@motorolaindia\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest \nJoin in friends  @kittupari31\n@rishibagree \n@Mika0562 \nhttps://t.co/UfNsmJWUWN https://t.co/rSCVdBnQ40'"
1192,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1193,"b'@motorolaindia \xf0\x9f\x91\x89For Moto G10Power price should be \xe2\x82\xb915,999/- \n\xf0\x9f\x91\x89For Moto G30 price should be \xe2\x82\xb919,999/-\n#motog10power #MotoG30\n@motorolaindia \n@AnishMakwana1\n@madman41188'"
1194,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1195,"b'@motorolaindia For Moto G10Power - \xe2\x82\xb910,999/- \nFor Moto G30 - \xe2\x82\xb914,999/-\n\n#motog10power #MotoG30\n@motorolaindia  @Minkey80239414 @JatinBhasin3'"
1196,"b'@motorolaindia \xf0\x9f\x99\x8f Hey Moto \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\nIn my guessing pricing should be \xf0\x9f\x91\x87\n\xf0\x9f\x91\x89#motog10power Rs. 13,999/-\xf0\x9f\x91\x88\n\xf0\x9f\x91\x89#MotoG30  Rs. 15,999/-\xf0\x9f\x91\x88\n@motorolaindia \n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest\nJoin\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\n@_singhalka \n@imPalak18 \n@ImPrashantPal \n@fastoye'"
1197,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1198,"b'@motorolaindia MOTO G10 Power - \xe2\x82\xb910,999\nMOTO G30 - \xe2\x82\xb912,999\n\n@motorolaindia\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest \n\n#motog10power #motog30 \n\nJoin here friends\n@MayurMa46334426 \n@Rohith8977 \n@WadhvaniNaina'"
1199,"b'RT @motorolaindia: Make the best of every moment with the #PowerfulAllRounder that comes with a 6000 mAh battery, 48MP Quad Camera, Advance\xe2\x80\xa6'"
1200,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1201,"b'#motog10power - \xe2\x82\xb911,999/-\n#motog30 - \xe2\x82\xb914,999/- \n\n#PowerfulAllRounder #SolidAllRounder @motorolaindia #GuessThrPrice #AsliAllRounders \nJoin:\n@Sandy_Saravanan \n@CricSara \n@imPriynkaM\n@SMohan07327887\n@SS_Tanwar\n@barunezhil \n@Gowri0956 https://t.co/wdqoljfXm6'"
1202,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1203,"b'@motorolaindia #motog10power - \xe2\x82\xb911,999/-\n#motog30 - \xe2\x82\xb914,999/- \n\n#PowerfulAllRounder #SolidAllRounder @motorolaindia #GuessThrPrice #AsliAllRounders \nJoin:\n@Sandy_Saravanan \n@CricSara \n@imPriynkaM\n@SMohan07327887\n@SS_Tanwar\n@barunezhil \n@Gowri0956'"
1204,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1205,"b'RT @motorolaindia: Make the best of every moment with the #PowerfulAllRounder that comes with a 6000 mAh battery, 48MP Quad Camera, Advance\xe2\x80\xa6'"
1206,b'@motorolaindia Moto g10 power \xe2\x82\xb911999\nMoto g30 \xe2\x82\xb9 14999\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30\n\n@satyapaljain_86 @WoodmeatL'
1207,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1208,b'RT @eyedipu: @motorolaindia \xf0\x9f\xa6\x84\xf0\x9f\x8e\x89 Moto g\xc2\xb9\xe2\x81\xb0 power \xe2\x9c\xa8 \xe2\x82\xb913999/-\n\n\xf0\x9f\xa6\x84\xf0\x9f\x8e\x89Moto g\xc2\xb3\xe2\x81\xb0  \xe2\x9c\xa8 \xe2\x82\xb915999/-\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #motog\xe2\x80\xa6'
1209,"b'@motorolaindia Moto G10Power - \xe2\x82\xb910,999/- \nMoto G30 - \xe2\x82\xb915,999/-\n\n#motog10power #MotoG30\n@motorolaindia @AdeebaShah @IqbalKhambre @faizuprince @RLalse'"
1210,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1211,"b'@motorolaindia For Moto G10Power - \xe2\x82\xb910,990/- \nFor Moto G30 - \xe2\x82\xb914,990/-\n\n#motog10power #MotoG30\n@motorolaindia \n@sd12dec @BirjuDamani'"
1212,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1213,"b'RT @sizzstyle: @motorolaindia Moto G10 Power - \xe2\x82\xb912,990/-\nMoto G30 - \xe2\x82\xb915,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAll\xe2\x80\xa6'"
1214,"b'@motorolaindia Moto G10 Power - \xe2\x82\xb912,990/-\nMoto G30 - \xe2\x82\xb915,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 @motorolaindia\n\nJoin Friends\n\n@manishgupta1 @rockstar_born @SaloniMehta88 @Rahuldeshai @amitkhurana2\n\nhttps://t.co/FnYKsZDEFY'"
1215,"b'@motorolaindia #motog10power - \xe2\x82\xb914,990 /-\n#motog30 - \xe2\x82\xb915,990 /- \n\n#PowerfulAllRounder #SolidAllRounder @motorolaindia #GuessThrPrice #AsliAllRounders \n\nJoin @UtkSrvstv \n@pankajsingh630 \n@RkvWritings \n@imArun001 \n@GoogleManikanta \n@BEALOTUS\n@kevalmodi9'"
1216,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1217,"b'@motorolaindia Moto g\xc2\xb9\xe2\x81\xb0 Power - \xe2\x82\xb99,999/-\nMoto g\xc2\xb3\xe2\x81\xb0 - \xe2\x82\xb911,999/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest  #motog10power #motog30 @motorolaindia \n\nJoin us\n@Moral_Coder \n@Smiley_Bharati \n@Priyanka_s7 \n@khemka_nidhi \n@Sandeep13_'"
1218,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1219,"b'#motog10power - \xe2\x82\xb914,990 /-\n#motog30 - \xe2\x82\xb915,990 /- \n\n#PowerfulAllRounder #SolidAllRounder @motorolaindia #GuessThrPrice #AsliAllRounders \n\nJoin @UtkSrvstv \n@pankajsingh630 \n@RkvWritings \n@Subramoniam07 \n@imArun001 \n@SMohan07327887 \n@GoogleManikanta \n@BEALOTUS https://t.co/bWJvJKM5cv'"
1220,"b'@motorolaindia Moto G10 \xe2\x82\xb9 11,999 &amp;\n Moto G30 \xe2\x82\xb914,499\n\n#motog10power #motog30\n      Tagging\n@tanya_motwani @jainusha30 @sweetuk81 @PreetiSanghavi1 @AnjuParmar_11'"
1221,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1222,"b'RT @motorolaindia: From near-stock Android\xe2\x84\xa2 11, ThinkShield security, long-lasting battery to high res-camera, the #AsliAllRounders have go\xe2\x80\xa6'"
1223,"b'RT @motorolaindia: Day or night, you will soon be able to make the most out of every hour with the super-massive battery life of #motog10po\xe2\x80\xa6'"
1224,"b'RT @motorolaindia: Introducing #motog10power, the perfect #PowerfulAllRounder! It comes with a 6000 mAh battery, 48MP Quad Camera, ThinkShi\xe2\x80\xa6'"
1225,"b'@motorolaindia My guess  \xf0\x9f\x91\x87\xf0\x9f\x94\xa5\n\n#motog10power  -  \xe2\x82\xb99,990/-\n#MotoG30   -  \xe2\x82\xb912,490/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest\n@motorolaindia \n\nTags :-          \n@tush_tech  \n@MedicalSakshi\n@Sharvan86180432'"
1226,b'Guess The Price to Win #motog10 power &amp; #motog30 Smartphones\n\nRead more at: https://t.co/ME7o7pLNZu\n#FForFree #motog10power https://t.co/UhqhFsmkJA'
1227,"b'@motorolaindia My guess  \xf0\x9f\x91\x87\xf0\x9f\x94\xa5\n\n#motog10power  -  \xe2\x82\xb910,499/-\n#MotoG30   -  \xe2\x82\xb912,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest\n@motorolaindia \n\nTags :-          \n@tush_tech  \n@MedicalSakshi\n@Sharvan86180432'"
1228,b'@motorolaindia Moto g10 power 12999 Moto g30 15999\n#motog10power #motog30\n@rogerfederer @kathirsar'
1229,"b'@motorolaindia Moto G10 Power @ \xe2\x82\xb99,990/- \nMoto G30 @ \xe2\x82\xb910,990/-\n\n#motog10power #MotoG30\n@motorolaindia \ntagging \n@vibgyor70 \n@kalyani1167'"
1230,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1231,"b'@motorolaindia My guess are\nMoto G10 Power - \xe2\x82\xb99,990/-\nMoto G30 - \xe2\x82\xb912,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 \n@motorolaindia \n\nJoin In\n\n@iakshatthakur\n@rajdamania44 \n@bokadia_vinita \n@Soniyaskjain1 \n@jashjain007'"
1232,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1233,b'#GenerationEquality\n#YoongiDay\n#Yemen\n#YoongiOurHome\n#LiftMotionPoster\n#LetUsBackToAus\n#KGFChapter2\n#ShauryaAurAnokhiKiKahani\n#motog10power\n#Marasli\n#OppoF19Pro\n#valid_amie\n#Xbox\n#Xiaomi\nAll the scriptures tell that .......who created the entire creation!\nhttps://t.co/N3MnNlh17C'
1234,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1235,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1236,"b'@motorolaindia Moto G10 Power - \xe2\x82\xb912,990/-\nMoto G30 - \xe2\x82\xb915,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 @motorolaindia'"
1237,b'@motorolaindia Moto g10 power \xe2\x82\xb912999\nMoto g30 \xe2\x82\xb9 15999\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30\n\n@WoodmeatL @BamonPalace'
1238,"b'RT @RaviKum75193040: @motorolaindia Moto g10 power expected Price \xe2\x82\xb9 10,980/-\nMoto g30 expected Price \xe2\x82\xb9 13,980/-\n\n#motog10power  #motog30\n\n@\xe2\x80\xa6'"
1239,"b'@motorolaindia Moto g10 power expected Price \xe2\x82\xb9 10,980/-\nMoto g30 expected Price \xe2\x82\xb9 13,980/-\n\n#motog10power  #motog30\n\n@motorolaindia \n\nTag friends\n@the_pride_grv \n@Pankaj_Yado1 \n@Moral_Coder \n@kusumsolanki17 \n@SassyAnokhi_'"
1240,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1241,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1242,"b'@motorolaindia #motog10power is Rs. 13,999/-\n#MotoG30 is Rs. 15,999/-\n@motorolaindia \n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest\n\nJoin\n@invisibleindra1\n@Sagar2612'"
1243,b'RT @invisibleindra1: @motorolaindia @motorolaindia\n\n\xe2\x99\xa6\xef\xb8\x8f\xf0\x9f\x91\x89Moto G10 power: \xe2\x82\xb99990\n\n\xe2\x99\xa6\xef\xb8\x8f\xf0\x9f\x91\x89Moto G30: \xe2\x82\xb9 14990\n#PowerfulAllRounder\n#SolidAllRounder\n#mo\xe2\x80\xa6'
1244,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1245,"b'@motorolaindia Moto G10 Power - \xe2\x82\xb910,999/- \nMoto G30 - \xe2\x82\xb913,999/-\n\n#motog10power #MotoG30\n@motorolaindia \nJoin\n@blessedkamal ,@nitupapakipari @Madhurirakesh25'"
1246,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1247,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1248,"b'@motorolaindia #motog10power - \xe2\x82\xb912,999/-\n#motog30 - \xe2\x82\xb913,999/- \n\n#PowerfulAllRounder #SolidAllRounder @motorolaindia #GuessThrPrice #AsliAllRounders \n\nJoin:\n\n@LostBoy_Raam \n@RMJ77776765 \n@RajeshP75145054'"
1249,"b'@motorolaindia Moto G10 Power Price = \xe2\x82\xb912,990/-\nMoto G30 Price  = \xe2\x82\xb915,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 @motorolaindia\nJoin @PinkyDholakia @Mercy_ness https://t.co/zpPwmF3uZQ'"
1250,"b'@motorolaindia Moto G10 Power Price = \xe2\x82\xb912,990/-\nMoto G30 Price  = \xe2\x82\xb915,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 @motorolaindia\nJoin @gitapok_ @Sanjiv_34 https://t.co/Vas5coWu20'"
1251,"b'@motorolaindia Moto G10 Power -\xf0\x9f\x91\x89 \xe2\x82\xb913,990/-\n\nMoto G30 -\xf0\x9f\x91\x89 \xe2\x82\xb915,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 @motorolaindia\n\n Tags-\n@Srikant78426460 \n@SugyanH'"
1252,"b'@motorolaindia Moto g10 power - 11,999/-\nMoto g30 - 13,999/-\n\n#PowerfulAllRounder  #SolidAllRounder #GuessThePrice #AsliAllRounders\n#motog10power  #motog30 @motorolaindia \n\n@aadiivaasii\n@mbatra01\n@saiyq'"
1253,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1254,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1255,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1256,b'RT @msdraj1998: @motorolaindia Moto g10 power- \xe2\x82\xb910990\nMoto g30-  \xe2\x82\xb912990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30  @mo\xe2\x80\xa6'
1257,"b'@motorolaindia Moto G10 Power - \xe2\x82\xb912,990/-\nMoto G30 - \xe2\x82\xb915,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 @motorolaindia'"
1258,"b'@motorolaindia Moto g10 power - 11,999/-\nMoto g30 - 13,999/-\n\n#PowerfulAllRounder  #SolidAllRounder #GuessThePrice #AsliAllRounders\n#motog10power  #motog30 @motorolaindia \n\nGuys Join \n@inakbar @Fahim6t @Sandeep13_ @Sandipdey_99 @ImNitinRoshan @Pareek197 @Raghavendra0703'"
1259,b'@motorolaindia #motog10power - 9999\xe2\x82\xb9\n#MotoG30 - 12999\xe2\x82\xb9\n\nJoin here\n@eshikapatel5\n@shivam'
1260,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
1261,b'Launching Tomorrow \xf0\x9f\x98\x8d Stay Tuned..... #motog10power https://t.co/IH7eyjLiSn'
1262,"b'@motorolaindia Moto G10 Power : \xe2\x82\xb912,490\nMoto G30 : \xe2\x82\xb913,999\n\n#motog10power #motog30 \n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest\n@motorolaindia \nJoin\n@AnubhavAvash \n@komal_nitish'"
1263,"b'@motorolaindia Moto G10 Power : \xe2\x82\xb911,990\nMoto G30 : \xe2\x82\xb913,499\n\n#motog10power #motog30 \n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest\n@motorolaindia \n@Priyaavni1    @VaishaliMaisur2'"
1264,"b'@motorolaindia Moto g10 power expected Price \xe2\x82\xb9 9,299/-\nMoto g30 expected Price \xe2\x82\xb9 11,299/-\n #motog10power  #motog30\n@motorolaindia \nTag friends\n@AmarjeetMarwaha \n@MaisuriaChetan'"
1265,"b'@indiContest @motorolaindia ---&gt;For Moto G10Power price should be \xe2\x82\xb912,999/- \n\n---&gt;For Moto G30 price should be \xe2\x82\xb917,999/-\n\n#motog10power \n\n#MotoG30\n\n@motorolaindia \xe2\x9d\xa4\n\nJoin\n\n@Bharat67791925 \n\n@DishaKeshrani \n\n@Jayanti90714471'"
1266,"b'@BawalHuMe @motorolaindia @varshney_disha Moto G10 Power price : \xe2\x82\xb910,999/- \n Moto G30 price : \xe2\x82\xb914,999/-\n#MotoG10power\n#MotoG30\n@motorolaindia\n\nJoin\n@TusharMandloi2\n@kir30_yadav'"
1267,"b'@motorolaindia #motog10power : \xe2\x82\xb912,990\n#motog30           : \xe2\x82\xb913,999\n#PowerfulAllRounder #SolidAllRounder #motog10power #motog30 #GuessThePrice #AsliAllRounders \n@motorolaindia \nJoin in Guys\n@prachimana \n@GURVINDER_M \n@gayatridevir \n@yaminivakkapati \n@MoizBorker'"
1268,"b'RT @VHetal: @motorolaindia #motog10power \xf0\x9f\x91\x89\xe2\x82\xb912,999/-\n#motog30 \xf0\x9f\x91\x89  \xe2\x82\xb914,999/- \n\n#PowerfulAllRounder #SolidAllRounder @motorolaindia #GuessThrPr\xe2\x80\xa6'"
1269,"b'@motorolaindia Moto g10 power expected Price \xe2\x82\xb9 11,999/-\nMoto g30 expected Price \xe2\x82\xb9 13,999/-\n #motog10power  #motog30\n@motorolaindia \nTag friends\n@AmarjeetMarwaha \n@MaisuriaChetan'"
1270,b'@motorolaindia Moto g10 power: \xe2\x82\xb912999\nMoto g30: \xe2\x82\xb9 14999\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 @motorolaindia \nJoin\n@invisibleindra1 @BirjuDamani @aakash_beast786 @sengodan4 @Subrata37606833 @Rahulrahs @nikp_05 @sam__leez @JayshreeMalhot6 @Jay_parmar17 @Nitish_nix'
1271,"b'RT @SanjeevMaht0: @motorolaindia Moto G10 Power -) \xe2\x82\xb910,999/-\n\nMoto G30 -) 12,999/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #As\xe2\x80\xa6'"
1272,"b'@motorolaindia Moto g10 power expected Price \xe2\x82\xb9 10,860/-\nMoto g30 expected Price \xe2\x82\xb9 13,890/-\n #motog10power  #motog30\n@motorolaindia \nTag friends\n@AmarjeetMarwaha \n@MaisuriaChetan'"
